Functionality Scorecard,,,,,,,,,,,,,,,,,,
"Each candidate product is scored against every Tier 1 variable: Status, a 0-100 Rating, and Comments. Leave cells blank where a product does not cover or touch a requirement. The Summary rolls up automatically - including Footprint (how much of the requirement universe the product reaches). Our Posture shows the Tier 1 boundary, so where a product does more than we want (e.g. automates a Read item) the risk is visible. Definitions are in the Column key below.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Column key,,,,,,,,,,,,,,,,,,
ID / Layer / Variable,,,The variable being scored - same codes as Tabs 1 and 2.,,,,,,,,,,,,,,,
MVP Req. / Gating? / Conflict Risk,,,"Carried from Tier 1: the day-one must-have flag, the knockout flag, and where a product may conflict with how Compassus works.",,,,,,,,,,,,,,,
Our Posture,,,"The boundary we set in Tier 1: Control (software may drive it), Assist (software proposes, a person confirms), or Read (software only surfaces; a person decides). A product that does more than this on a variable is a risk to our determined interest - note it in Comments.",,,,,,,,,,,,,,,
Status,,,"Where the product stands: Not Available, Dev Roadmap, Testing, Active with Issues, Active, or In Scope Not Seen. Blank = not covered / not touched.",,,,,,,,,,,,,,,
Rating,,,0-100 score for how well the product handles the variable.,,,,,,,,,,,,,,,
Comments,,,"Evidence and notes from the product guide, demo, or vendor answer - including any place the product oversteps Our Posture.",,,,,,,,,,,,,,,
Footprint (Summary),,,Weighted share of the requirement universe the product touches at all (any Status except Not Available) - how much of what we care about it even reaches.,,,,,,,,,,,,,,,
Weight / Row Type / Rollup Key / Module,,,"Hidden helper columns that drive the rollups. These mirror the Variable Inventory and are not edited here - MVP Req., Our Posture, Gating?, Conflict Risk, Weight and Rollup Key are all carried from that tab. Module (col Q) groups each variable into the target architecture: Capacity Management, Scheduling Engine, or Patient Engagement. Re-sync from the inventory whenever a variable is added or changed.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,HCHB Web Scheduling,,,HCHB Smart Scheduling,,,,,
,,Footprint % (of requirements),,,,,,,,,"=IFERROR(SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452*(K$22:K$452<>"""")*(K$22:K$452<>""Not Available""))/SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452),"""")",,,"=IFERROR(SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452*(N$22:N$452<>"""")*(N$22:N$452<>""Not Available""))/SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452),"""")",,,,
,,Coverage % (Active / Active w-Issues),,,,,,,,,"=IFERROR(SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452*((K$22:K$452=""Active"")+(K$22:K$452=""Active with Issues"")))/SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452),"""")",,,"=IFERROR(SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452*((N$22:N$452=""Active"")+(N$22:N$452=""Active with Issues"")))/SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452),"""")",,,,
,,Overall weighted rating,,,,,,,,,"=IFERROR(SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452*L$22:L$452)/SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452*ISNUMBER(L$22:L$452)),"""")",,,"=IFERROR(SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452*O$22:O$452)/SUMPRODUCT(($I$22:$I$452=""Variable"")*$H$22:$H$452*ISNUMBER(O$22:O$452)),"""")",,,,
,,Posture overreach (# variables),,,,,,,,,"=SUMPRODUCT(($I$22:$I$452=""Variable"")*ISNUMBER(SEARCH(""OVERREACH"",M$22:M$452)))",,,"=SUMPRODUCT(($I$22:$I$452=""Variable"")*ISNUMBER(SEARCH(""OVERREACH"",P$22:P$452)))",,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,HCHB Web Scheduling,,,HCHB Smart Scheduling,,,,,
ID,Layer,Variable,MVP Req.,Our Posture,Gating?,Conflict Risk,Weight,Row Type,Rollup Key,Status,Rating,Comments,Status,Rating,Comments,Module,,
SHARED SPINE   -   used by both capacity and scheduling,,,,,,,,,,,,,,,,,,
,Shared,Roster,,,,,,Category,SHD-A,,"=IFERROR(SUMPRODUCT($H$24:$H$27*L$24:L$27)/SUMPRODUCT($H$24:$H$27*ISNUMBER(L$24:L$27)),0)",,,"=IFERROR(SUMPRODUCT($H$24:$H$27*O$24:O$27)/SUMPRODUCT($H$24:$H$27*ISNUMBER(O$24:O$27)),0)",,,,
SH-01,Shared,Clinician headcount,Yes,Control,Y,N,3,Variable,SHD-A,,,,Active,55,"Engine consumes the active-worker roster (Status Active, Able to Perform Visits) as its eligibility pool but does not manage headcount itself.",Capacity Management,,Out of the box vs need to develop column
SH-02,Shared,Discipline,Yes,Control,Y,N,3,Variable,SHD-A,Active,60,"Worker cards show Primary Job Description and visits carry Service Code Type/Service Code, sortable/groupable by Service line.",Active,90,Discipline/Job Code is a hard matching constraint the engine auto-enforces when assigning visits.,Capacity Management,,
SH-03,Shared,Role (assessing vs assistant),Yes,Control,Y,N,3,Variable,SHD-A,,,,Active,80,Job Code Priority Hierarchy and percentage-time-reserved distinguish assessing vs assistant roles and auto-prefer lower-cost qualified workers.,Capacity Management,,
SH-04,Shared,FTE / employment type,Yes,Control,Y,Y,3,Variable,SHD-A,,,,Active,85,Payment Method (Salaried/Hourly/Per-Visit/Custom) drives cost categories and expected-hours/points caps the engine enforces.,Capacity Management,,
,Shared,Availability & PTO,,,,,,Category,SHD-B,,"=IFERROR(SUMPRODUCT($H$29*L$29)/SUMPRODUCT($H$29*ISNUMBER(L$29)),0)",,,"=IFERROR(SUMPRODUCT($H$29*O$29)/SUMPRODUCT($H$29*ISNUMBER(O$29)),0)",,,,
SH-05,Shared,Approved time off / availability,Yes,Control,Y,N,3,Variable,SHD-B,Active,60,Worker Calendar flyout shows all visits plus non-visit activity (NVA) and a dynamic capacity read for availability/workload.,Active,85,Worker Availability/Unavailability and NVA integration auto-remove time off from the schedulable window.,Capacity Management,,
,Shared,Geography,,,,,,Category,SHD-C,,"=IFERROR(SUMPRODUCT($H$31*L$31)/SUMPRODUCT($H$31*ISNUMBER(L$31)),0)",,,"=IFERROR(SUMPRODUCT($H$31*O$31)/SUMPRODUCT($H$31*ISNUMBER(O$31)),0)",,,,
SH-06,Shared,Territory / service area,Yes,Assist,Y,Y,3,Variable,SHD-C,Active,55,"Branch filter (limited to the user's assigned branches), plus City and Zip Code on patient search, surface service area; no clinician territory concept.",Active,75,"OVERREACH - Branch/Team/Location match and Super Branch are hard constraints the engine auto-enforces (Worker Home Branch must equal Patient Branch), deciding service-area coverage rather than proposing it per our Assist posture.",Capacity Management,,
,Shared,Visit weighting,,,,,,Category,SHD-D,,"=IFERROR(SUMPRODUCT($H$33*L$33)/SUMPRODUCT($H$33*ISNUMBER(L$33)),0)",,,"=IFERROR(SUMPRODUCT($H$33*O$33)/SUMPRODUCT($H$33*ISNUMBER(O$33)),0)",,,,
SH-07,Shared,Productivity points per visit type,Yes,Control,N,Y,3,Variable,SHD-D,,,,Active,70,Productivity Points Model and Expected Points weight visits and cap load automatically.,Capacity Management,,
,Shared,Targets,,,,,,Category,SHD-E,,"=IFERROR(SUMPRODUCT($H$35*L$35)/SUMPRODUCT($H$35*ISNUMBER(L$35)),0)",,,"=IFERROR(SUMPRODUCT($H$35*O$35)/SUMPRODUCT($H$35*ISNUMBER(O$35)),0)",,,,
SH-08,Shared,Productivity target & ceiling,Yes,Control,N,Y,3,Variable,SHD-E,Active,65,"Capacity = (Scheduled+Completed)/Expected exposes the productivity target (Expected), and the 'Worker at Max Hours' exception surfaces the ceiling.",Active,85,"Enforces expected productivity target and a 30% ceiling, adding overtime penalties past it.",Capacity Management,,
,Shared,Demand events,,,,,,Category,SHD-F,,"=IFERROR(SUMPRODUCT($H$37*L$37)/SUMPRODUCT($H$37*ISNUMBER(L$37)),0)",,,"=IFERROR(SUMPRODUCT($H$37*O$37)/SUMPRODUCT($H$37*ISNUMBER(O$37)),0)",,,,
SH-09,Shared,Referral inflow / discharge outflow,Yes,Control,N,N,3,Variable,SHD-F,,,,Active,50,"Visit Dispatching reacts in real time to referral/order events (SOC, follow-up, discharge visit types) and schedules them automatically.",Capacity Management,,
,,,,,,,,,,,,,,,,,,
CAPACITY,,,,,,,,,,,,,,,,,,
,Capacity,Supply,,,,,,Category,CAP-A,,"=IFERROR(SUMPRODUCT($H$41*L$41)/SUMPRODUCT($H$41*ISNUMBER(L$41)),0)",,,"=IFERROR(SUMPRODUCT($H$41*O$41)/SUMPRODUCT($H$41*ISNUMBER(O$41)),0)",,,,
C-01,Capacity,Headcount by discipline & employment type,Yes,Control,Y,Y,3,Variable,CAP-A,,,,Active,75,Groups clinicians by discipline and Payment Method and optimizes assignment across that supply.,Capacity Management,,
,Capacity,Geography,,,,,,Category,CAP-B,,"=IFERROR(SUMPRODUCT($H$43:$H$46*L$43:L$46)/SUMPRODUCT($H$43:$H$46*ISNUMBER(L$43:L$46)),0)",,,"=IFERROR(SUMPRODUCT($H$43:$H$46*O$43:O$46)/SUMPRODUCT($H$43:$H$46*ISNUMBER(O$43:O$46)),0)",,,,
C-02,Capacity,Branch coverage territory (county),Yes,Control,Y,N,3,Variable,CAP-B,Active,60,"Branch filter defaults to the Scheduler's Home Branch and is scoped to branches the user has access to, showing branch coverage; county granularity not surfaced.",Active,80,Worker Home Branch must equal Patient Branch; branch coverage enforced as a hard constraint.,Capacity Management,,
C-03,Capacity,Clinician territory assignment (zip),Yes,Assist,Y,Y,3,Variable,CAP-B,,,,Active,65,"OVERREACH - Uses worker home/alternate-start geolocation to auto-route and auto-assign by proximity, effectively deciding zip-level coverage past our Assist posture.",Capacity Management,,
C-14,Capacity,Territory currency,Yes,Assist,Y,N,3,Variable,CAP-B,,,,,,,Capacity Management,,
C-04,Capacity,Census-tract granularity (under evaluation),Yes,Assist,N,Y,3,Variable,CAP-B,,,,,,,Capacity Management,,
